sample_id,group,disease,height,area,diameter,replicate,proteo_resist_05,proteo_resist_1,seed_density,basal_trans,induced_trans
AD_tau_rep0,AD_tau_rep0,AD,0.996,3.815,2.204,0,1.047,0.929,0.23,11.0,4.0
AD_tau_rep1,AD_tau_rep1,AD,1.03,10.666,2.204,1,83.333,39.792,0.115667,5.0,1.0
AD_tau_rep2,AD_tau_rep2,AD,1.064,17.516,2.204,2,91.43,32.252,0.038667,15.0,6.0
AD_tau_rep3,AD_tau_rep3,AD,1.099,24.367,2.204,3,41.805,8.586,0.339,11.0,1.0
AD_tau_rep4,AD_tau_rep4,AD,1.133,31.218,2.204,4,22.7945,8.275500000000001,0.1493335,4.0,4.0
DLB_tau_rep0,DLB_tau_rep0,DLB,0.568,15.14,4.391,0,2.255,3.283,0.224333,49.0,11.0
DLB_tau_rep1,DLB_tau_rep1,DLB,0.568,15.14,4.391,1,30.958,18.828,0.116,32.0,1.0
DLB_tau_rep2,DLB_tau_rep2,DLB,0.568,15.14,4.391,2,14.631,7.965,0.0305,51.0,9.0
DLB_tau_rep3,DLB_tau_rep3,DLB,0.568,15.14,4.391,3,3.109,3.361,0.319,41.0,13.0
DLB_tau_rep4,DLB_tau_rep4,DLB,0.568,15.14,4.391,4,22.7945,8.275500000000001,0.1493335,19.0,8.0
PSP_tau_rep0,PSP_tau_rep0,PSP,0.626,3.85,2.214,0,0.483,0.463,0.177,1.0,1.0
PSP_tau_rep1,PSP_tau_rep1,PSP,0.626,3.85,2.214,1,47.666,27.229,0.121667,1.209,1.625
PSP_tau_rep2,PSP_tau_rep2,PSP,0.626,3.85,2.214,2,33.982,14.197,0.028667,1.225,1.293
PSP_tau_rep3,PSP_tau_rep3,PSP,0.626,3.85,2.214,3,0.553,1.826,0.307,2.154,1.574
PSP_tau_rep4,PSP_tau_rep4,PSP,0.626,3.85,2.214,4,22.7945,8.275500000000001,0.1493335,1.351,1.676
PSP_tau_rep5,PSP_tau_rep5,PSP,0.626,3.85,2.214,5,22.7945,8.275500000000001,0.1493335,2.646,1.308
PSP_tau_rep6,PSP_tau_rep6,PSP,0.626,3.85,2.214,6,22.7945,8.275500000000001,0.1493335,1.0,1.0
PSP_tau_rep7,PSP_tau_rep7,PSP,0.626,3.85,2.214,7,22.7945,8.275500000000001,0.1493335,1.0,2.646
