mode,model,k,acc,f1,loss
tau_full_supplement,LogReg,all,1.0,1.0,0.005307679168286524
tau_full_supplement,SVC,all,1.0,1.0,0.28950562294834764
tau_full_supplement,RF,all,1.0,1.0,0.015872701822603405
tau_full_supplement,GB,all,1.0,1.0,0.014662555787632519
tau_full_supplement,LogReg,10,1.0,1.0,0.04821096340182546
tau_full_supplement,SVC,10,1.0,1.0,0.2916571190607376
tau_full_supplement,RF,10,1.0,1.0,0.005687614655060322
tau_full_supplement,GB,10,1.0,1.0,0.014603972492404286
tau_full_supplement,XGB,10,1.0,1.0,0.17061534325560251
tau_full_supplement,LogReg,20,1.0,1.0,0.02819678180176226
tau_full_supplement,SVC,20,1.0,1.0,0.2916031009820352
tau_full_supplement,RF,20,1.0,1.0,0.005687614655060322
tau_full_supplement,GB,20,1.0,1.0,0.014603972492404286
tau_full_supplement,XGB,20,1.0,1.0,0.17061534325560251
tau_full_supplement,LogReg,40,1.0,1.0,0.012323586073543755
tau_full_supplement,SVC,40,1.0,1.0,0.29441565225072813
tau_full_supplement,RF,40,1.0,1.0,0.005687614655060322
tau_full_supplement,GB,40,1.0,1.0,0.014603972492404286
tau_full_supplement,XGB,40,1.0,1.0,0.17061534325560251
tau_full_supplement,LogReg,80,1.0,1.0,0.006766271506836692
tau_full_supplement,SVC,80,1.0,1.0,0.2945118707246774
tau_full_supplement,RF,80,1.0,1.0,0.005687614655060322
tau_full_supplement,GB,80,1.0,1.0,0.014603972492404286
tau_full_supplement,XGB,80,1.0,1.0,0.17061534325560251
tau_full_supplement,LogReg,120,1.0,1.0,0.005307679168286372
tau_full_supplement,SVC,120,1.0,1.0,0.2895056229483476
tau_full_supplement,RF,120,1.0,1.0,0.012465344960545147
tau_full_supplement,GB,120,1.0,1.0,0.014724989444905454
tau_full_supplement_plus_geo,LogReg,all,1.0,1.0,0.003002219894391021
tau_full_supplement_plus_geo,SVC,all,1.0,1.0,0.2916334362949751
tau_full_supplement_plus_geo,RF,all,1.0,1.0,0.013571109658933971
tau_full_supplement_plus_geo,GB,all,1.0,1.0,0.015085458752155473
tau_full_supplement_plus_geo,LogReg,10,1.0,1.0,0.011001634774066349
tau_full_supplement_plus_geo,SVC,10,1.0,1.0,0.2900257264037224
tau_full_supplement_plus_geo,RF,10,1.0,1.0,0.005687614655060322
tau_full_supplement_plus_geo,GB,10,1.0,1.0,0.014603972492404286
tau_full_supplement_plus_geo,XGB,10,1.0,1.0,0.17061534325560251
tau_full_supplement_plus_geo,LogReg,20,1.0,1.0,0.007873536363704857
tau_full_supplement_plus_geo,SVC,20,1.0,1.0,0.292084673619531
tau_full_supplement_plus_geo,RF,20,1.0,1.0,0.005687614655060322
tau_full_supplement_plus_geo,GB,20,1.0,1.0,0.014603972492404286
tau_full_supplement_plus_geo,XGB,20,1.0,1.0,0.17061534325560251
tau_full_supplement_plus_geo,LogReg,40,1.0,1.0,0.006096481488501779
tau_full_supplement_plus_geo,SVC,40,1.0,1.0,0.2928744448000147
tau_full_supplement_plus_geo,RF,40,1.0,1.0,0.005687614655060322
tau_full_supplement_plus_geo,GB,40,1.0,1.0,0.014603972492404286
tau_full_supplement_plus_geo,XGB,40,1.0,1.0,0.17061534325560251
tau_full_supplement_plus_geo,LogReg,80,1.0,1.0,0.0036832554084644626
tau_full_supplement_plus_geo,SVC,80,1.0,1.0,0.2940974686287578
tau_full_supplement_plus_geo,RF,80,1.0,1.0,0.005687614655060322
tau_full_supplement_plus_geo,GB,80,1.0,1.0,0.014603972492404286
tau_full_supplement_plus_geo,XGB,80,1.0,1.0,0.17061534325560251
tau_full_supplement_plus_geo,LogReg,120,1.0,1.0,0.003052576534654623
tau_full_supplement_plus_geo,SVC,120,1.0,1.0,0.29161315872074134
tau_full_supplement_plus_geo,RF,120,1.0,1.0,0.012952970134877659
tau_full_supplement_plus_geo,GB,120,1.0,1.0,0.014724768512401959
tau_full_supplement,XGB,all,0.95,0.9199999999999999,0.2897799548348903
tau_full_supplement,XGB,120,0.95,0.9199999999999999,0.2616156696795885
tau_full_supplement_plus_geo,XGB,all,0.95,0.9199999999999999,0.2629007610772905
tau_full_supplement_plus_geo,XGB,120,0.95,0.9199999999999999,0.26264581963242906
tau_full_supplement,NeuroFoldNet,all,0.7333333333333333,0.5955555555555555,0.3205633148530743
tau_full_supplement,NeuroFoldNet,10,0.7166666666666666,0.5822222222222221,0.34358068674580083
tau_full_supplement,NeuroFoldNet,20,0.7166666666666666,0.5822222222222221,0.34772071080665623
tau_full_supplement,NeuroFoldNet,40,0.7166666666666666,0.5822222222222221,0.34689369191790526
tau_full_supplement,NeuroFoldNet,80,0.7166666666666666,0.5822222222222221,0.34689369191790526
tau_full_supplement,NeuroFoldNet,120,0.7166666666666666,0.5822222222222221,0.38150580113607957
tau_full_supplement_plus_geo,NeuroFoldNet,all,0.7166666666666666,0.5822222222222221,0.3367250477642521
tau_full_supplement_plus_geo,NeuroFoldNet,10,0.7166666666666666,0.5822222222222221,0.34689369191790526
tau_full_supplement_plus_geo,NeuroFoldNet,20,0.7166666666666666,0.5822222222222221,0.3538330188417145
tau_full_supplement_plus_geo,NeuroFoldNet,40,0.7166666666666666,0.5822222222222221,0.34689369191790526
tau_full_supplement_plus_geo,NeuroFoldNet,80,0.7166666666666666,0.5822222222222221,0.34689369191790526
tau_full_supplement_plus_geo,NeuroFoldNet,120,0.7166666666666666,0.5822222222222221,0.3368665645564252
