fold,feature,experimental_figure,importance_mean,importance_sd
1,height,Fig 1,0.09333333333333334,0.14966629547095764
1,area,Fig 1,0.0,0.0
1,diameter,Fig 1,0.27999999999999997,0.12220201853215573
1,proteo_resist_05,Fig 3,0.0,0.0
1,proteo_resist_1,Fig 3,0.0,0.0
1,seed_density,Fig 4,0.0,0.0
1,basal_trans,Fig 5,0.18666666666666662,0.16546231527987812
1,induced_trans,Fig 5,0.0,0.0
1,fig7_global_tau_neuronal_response,Fig 7,0.0,0.0
2,height,Fig 1,0.3266666666666667,0.18844392033470095
2,area,Fig 1,0.0,0.0
2,diameter,Fig 1,0.0,0.0
2,proteo_resist_05,Fig 3,0.0,0.0
2,proteo_resist_1,Fig 3,0.0,0.0
2,seed_density,Fig 4,0.0,0.0
2,basal_trans,Fig 5,0.0883333333333333,0.08318319808978518
2,induced_trans,Fig 5,0.0,0.0
2,fig7_global_tau_neuronal_response,Fig 7,0.0,0.0
3,height,Fig 1,0.17166666666666663,0.18477463750922815
3,area,Fig 1,0.0,0.0
3,diameter,Fig 1,0.0,0.0
3,proteo_resist_05,Fig 3,0.0,0.0
3,proteo_resist_1,Fig 3,0.0,0.0
3,seed_density,Fig 4,0.0,0.0
3,basal_trans,Fig 5,0.0,0.0
3,induced_trans,Fig 5,0.0,0.0
3,fig7_global_tau_neuronal_response,Fig 7,0.0,0.0
4,height,Fig 1,0.37666666666666676,0.2652252711271014
4,area,Fig 1,0.13,0.16258331197676268
4,diameter,Fig 1,0.0,0.0
4,proteo_resist_05,Fig 3,0.0,0.0
4,proteo_resist_1,Fig 3,0.0,0.0
4,seed_density,Fig 4,0.0,0.0
4,basal_trans,Fig 5,0.0866666666666667,0.14621141466307538
4,induced_trans,Fig 5,0.0,0.0
4,fig7_global_tau_neuronal_response,Fig 7,0.0,0.0
5,height,Fig 1,0.31333333333333335,0.2659156090023884
5,area,Fig 1,0.0,0.0
5,diameter,Fig 1,0.2166666666666667,0.1589898669028243
5,proteo_resist_05,Fig 3,0.0,0.0
5,proteo_resist_1,Fig 3,0.0,0.0
5,seed_density,Fig 4,0.0,0.0
5,basal_trans,Fig 5,0.0,0.0
5,induced_trans,Fig 5,0.0,0.0
5,fig7_global_tau_neuronal_response,Fig 7,0.0,0.0
