model,select_k,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,log_loss_mean,log_loss_sd,n_held_out_blocks
logreg,8,0.6666666666666666,0.29814239699997197,0.6262626262626262,0.31533923443200995,0.9171232541713867,0.7297101061046659,11
rf,8,0.606060606060606,0.3595732599803958,0.5656565656565656,0.37664714946008626,1.0132934499245883,0.4547713245371329,11
logreg,5,0.5454545454545454,0.30813875924572515,0.48989898989898983,0.30913876964902387,1.0656948107744044,0.5744076943663994,11
svc_rbf,8,0.5454545454545454,0.30813875924572515,0.4848484848484848,0.34524182711820883,0.9904036419937288,0.26757032938283193,11
svc_linear,8,0.5454545454545454,0.2247332874877474,0.4646464646464646,0.23210354127426377,0.9604867214549088,0.5928057720904564,11
svc_rbf,5,0.5151515151515151,0.3113995776646092,0.45959595959595956,0.3182619748320838,1.145733442706526,0.32273128518046823,11
svc_linear,5,0.5151515151515151,0.2733998440882415,0.4393939393939394,0.2681147550686494,1.036327799391286,0.3472734155407424,11
logreg,none,0.4545454545454545,0.40201512610368484,0.4090909090909091,0.4129633404295356,2.1590829241319165,1.9523343748156525,11
rf,5,0.42424242424242425,0.26208179770229884,0.3636363636363636,0.21711298242630983,1.1051405007395938,0.48818301256289603,11
svc_linear,none,0.4242424242424242,0.30151134457776363,0.3434343434343434,0.29898819273332417,1.1525114175455198,0.26722818408102017,11
svc_rbf,none,0.4242424242424242,0.26208179770229884,0.32323232323232315,0.28089163788451516,1.1457642746165357,0.05298435678000324,11
rf,none,0.393939393939394,0.3595732599803958,0.3636363636363636,0.3586356488408935,1.1130062426957317,0.3590501595326249,11
logreg,3,0.3939393939393939,0.29128763250176765,0.34848484848484845,0.2833778931092373,1.1336025934698866,0.44508849467590966,11
svc_linear,3,0.3939393939393939,0.20100756305184242,0.32323232323232315,0.1805652678040527,1.0974581138197521,0.2530678392032131,11
svc_rbf,3,0.36363636363636365,0.1797866299901979,0.2929292929292929,0.16497457546526337,1.126158043824701,0.25845945717113833,11
dummy,none,0.33333333333333337,5.822058658345462e-17,0.16666666666666669,2.911029329172731e-17,1.0986122886681096,2.3288234633381846e-16,11
rf,3,0.3333333333333333,0.29814239699997197,0.29797979797979796,0.2921532737340715,1.1565679158643833,0.5076082394166495,11
