feature_mode,classifier,select_k,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,log_loss_mean,log_loss_sd
tau_full_supplement_plus_geo,rf_balanced,2,1.0,0.0,1.0,0.0,0.06997188523437053,0.0002671397163441864
tau_full_supplement_plus_geo,rf_balanced,3,1.0,0.0,1.0,0.0,0.12847758514188864,0.06587170332452116
tau_full_supplement_plus_geo,rf_balanced,5,1.0,0.0,1.0,0.0,0.1471801123471261,0.04106597495116433
tau_full_supplement_plus_geo,logreg_balanced,5,1.0,0.0,1.0,0.0,0.1985458669656249,0.10057497816636822
tau_full_supplement_plus_geo,logreg_balanced,3,1.0,0.0,1.0,0.0,0.24375804006432986,0.09776894194151048
tau_full_supplement_plus_geo,logreg_balanced,2,1.0,0.0,1.0,0.0,0.2552465711667144,0.04600498154899937
tau_full_supplement_plus_geo,svc_linear_balanced,2,1.0,0.0,1.0,0.0,0.2663114300299171,0.034128857871156916
tau_full_supplement_plus_geo,svc_rbf_balanced,5,1.0,0.0,1.0,0.0,0.28890883595097944,0.06616919979729133
tau_full_supplement_plus_geo,rf_balanced,none,1.0,0.0,1.0,0.0,0.2925705414175238,0.06130821826606336
tau_full_supplement_plus_geo,rf_balanced,8,1.0,0.0,1.0,0.0,0.2925705414175238,0.06130821826606336
tau_full_supplement_plus_geo,svc_rbf_balanced,2,1.0,0.0,1.0,0.0,0.29300439454160865,0.010400253477207539
tau_full_supplement_plus_geo,svc_linear_balanced,3,1.0,0.0,1.0,0.0,0.2972733603137901,0.07250271599403024
tau_full_supplement_plus_geo,svc_linear_balanced,5,1.0,0.0,1.0,0.0,0.310250338929405,0.09362270589061192
tau_full_supplement_plus_geo,svc_rbf_balanced,3,1.0,0.0,1.0,0.0,0.32497401313802793,0.0677045809149438
tau_full_supplement_plus_geo,logreg_balanced,none,0.95,0.11180339887498947,0.9199999999999999,0.1788854381999832,0.25667815960018664,0.19636367232987847
tau_full_supplement_plus_geo,logreg_balanced,8,0.95,0.11180339887498947,0.9199999999999999,0.1788854381999832,0.25667815960018664,0.19636367232987847
tau_full_supplement_plus_geo,svc_rbf_balanced,none,0.95,0.11180339887498947,0.9199999999999999,0.1788854381999832,0.356709059702745,0.16580305395152348
tau_full_supplement_plus_geo,svc_rbf_balanced,8,0.95,0.11180339887498947,0.9199999999999999,0.1788854381999832,0.356709059702745,0.16580305395152348
tau_full_supplement_plus_geo,svc_linear_balanced,none,0.95,0.11180339887498947,0.9199999999999999,0.1788854381999832,0.3828568924994917,0.16062597401638343
tau_full_supplement_plus_geo,svc_linear_balanced,8,0.95,0.11180339887498947,0.9199999999999999,0.1788854381999832,0.3828568924994917,0.16062597401638343
