feature_mode,fold,rank,feature,f_score
tau_full_supplement_plus_geo,1,1,numeric__geo_module_tau_neuronal_vs_untreated_disease_mean,inf
tau_full_supplement_plus_geo,1,2,geo_expr_fold_pca__pca0,inf
tau_full_supplement_plus_geo,1,3,geo_expr_fold_pca__pca1,inf
tau_full_supplement_plus_geo,2,1,numeric__geo_module_tau_neuronal_vs_untreated_disease_mean,inf
tau_full_supplement_plus_geo,2,2,geo_expr_fold_pca__pca0,inf
tau_full_supplement_plus_geo,2,3,geo_expr_fold_pca__pca1,inf
tau_full_supplement_plus_geo,3,1,numeric__geo_module_tau_neuronal_vs_untreated_disease_mean,inf
tau_full_supplement_plus_geo,3,2,geo_expr_fold_pca__pca0,inf
tau_full_supplement_plus_geo,3,3,geo_expr_fold_pca__pca1,inf
tau_full_supplement_plus_geo,4,1,numeric__geo_module_apoptosis_vs_untreated_disease_mean,inf
tau_full_supplement_plus_geo,4,2,numeric__geo_module_tau_neuronal_vs_untreated_disease_mean,inf
tau_full_supplement_plus_geo,4,3,geo_expr_fold_pca__pca0,inf
tau_full_supplement_plus_geo,5,1,numeric__geo_module_apoptosis_vs_untreated_disease_mean,inf
tau_full_supplement_plus_geo,5,2,numeric__geo_module_tau_neuronal_vs_untreated_disease_mean,inf
tau_full_supplement_plus_geo,5,3,geo_expr_fold_pca__pca0,inf
